CAS#,CAS,Substance,PrimaryMoA,MolarMass(g/mol),Tm [oC],Pvap25 [Pa],Sol25 [mg/L],Kow [-],pKa1 [-],pKb1 [-],kdeg(water) [s-1],kdeg(sed) [s-1],kdeg(soil) [s-1],OrigenQuality-Acute EC50,SelectTaxa-Acute EC50,DataType-Acute EC50,RiskEndpoint-Acute EC50,#ToxData-Acute EC50,#Species-Acute EC50,#TaxClass-Acute EC50,10LogSSDMedianConcentration(ug/L)-MuAcute EC50,10LogSSDSlope(ug/L)-SigmaAcute EC50,Remark on acute SSD slope,QualityScore-Acute EC50,Remarks-Acute EC50,OrigenQuality-Chronic NOEC,SelectTaxa-Chronic NOEC,DataType-Chronic NOEC,RiskEndpoint-Chronic NOEC,#ToxData-Chronic NOEC,#Species-Chronic NOEC,#TaxClass-Chronic NOEC,10LogSSDMedianConcentration(ug/L)-MuChronic NOEC,10LogSSDSlope(ug/L)-SigmaChronic NOEC,Remark on chronic SSD slope,QualityScore-Chronic NOEC,Remarks-Chronic NOEC,Filter
56382,56-38-2,Parathion-ethyl,organothiophosphate,291.26,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,194,119,11,1.67,1.49,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,26,12,5,-0.2971,1.2686,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,56-38-2
57636,57-63-6,Ethinylestradiol,Estrogenic,296.41,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,16,13,5,3.28,0.403,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,270,46,7,-0.9193,1.768,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,57-63-6
58899,58-89-9,Lindane,organochlorine,290.83,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,303,157,14,2.07,1.05,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,30,21,7,1.676,1.2786,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,58-89-9
60515,60-51-5,Dimethoate,organothiophosphate,229.26,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,150,82,11,3.31,1.35,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,45,21,11,3.4196,1.288,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,60-51-5
63252,63-25-2,Carbaryl,carbamate,201.23,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,373,161,14,2.86,1.21,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,51,30,10,1.7048,1.0716,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,63-25-2
86500,86-50-0,Azinophosmethyl,organothiophosphate,317.33,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,184,74,10,1.5,1.3,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,38,17,6,0.1609,1.0491,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,86-50-0
87865,87-86-5,Pentachlorphenol,aromatic,266.34,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,284,136,20,2.61,0.716,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,28,16,8,1.5519,0.6101,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,87-86-5
94757,94-75-7,"2,4-D",phenoxyacetic,221.04,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,98,51,9,4.71,0.93,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,40,23,12,3.649,1.0408,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,94-75-7
115297,115-29-7,Endosulfan,organochlorine,406.93,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,242,130,11,0.957,1.24,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,41,15,5,0.5865,1.0049,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,115-29-7
121755,121-75-5,Malathion,organothiophosphate,330.36,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,475,208,11,2.45,1.32,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,96,39,10,1.6613,1.4521,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,121-75-5
122145,122-14-5,Fenitrothion,phenyl organothiophosphate,277.24,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,312,138,12,2.2,1.4,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,25,18,5,1.8764,0.9716,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,122-14-5
122349,122-34-9,Simazine,chlorotriazine,201.67,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,101,56,8,3.88,1.16,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,79,23,7,2.2445,1.1634,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,122-34-9
298000,298-00-0,Parathion-Methyl,phenyl organothiophosphate,263.21,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,206,112,16,2.95,1.4,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,31,11,6,2.0554,1.464,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,298-00-0
298464,298-46-4,Karbamazepin,Antiepiletics,236.28,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,52,19,12,4.59,0.415,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,71,19,7,2.3823,1.2482,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,298-46-4
330552,330-55-2,Linuron,phenylurea,249.1,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,42,20,6,2.81,0.893,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,39,25,11,1.3923,0.8655,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,330-55-2
333415,333-41-5,Diazinon,organothiophosphate,304.35,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,237,95,11,2.34,1.65,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,79,28,7,0.8007,1.7687,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,333-41-5
1071836,1071-83-6,Glyphosate,organophosphate,169.07,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,75,36,10,4.63,0.878,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,61,22,7,3.457,0.9252,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,1071-83-6
1563662,1563-66-2,Carbofuran,carbamate,221.26,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,135,61,8,2.46,0.989,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,24,12,2,1.5466,1.0819,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,1563-66-2
1582098,1582-09-8,Trifluralin,dinitroaniline,335.29,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,95,48,8,2.51,0.883,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,25,14,8,1.3152,1.0634,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,1582-09-8
1897456,1897-45-6,chloorthalonil,aromatic,265.92,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,178,66,15,2.01,0.743,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,48,29,11,0.9041,1.4237,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,1897-45-6
2164172,2164-17-2,Fluometuron,phenylurea,232.21,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,61,27,9,3.85,0.798,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,23,13,6,2.5166,0.6736,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,2164-17-2
2212671,2212-67-1,Molinate,thiocarbamate,187.31,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,93,40,7,3.85,0.667,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,17,14,6,2.7241,0.5692,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,2212-67-1
2921882,2921-88-2,Chlorpyrifos,organothiophosphate,350.59,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,572,195,16,1.05,1.4,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,279,83,16,0.3554,1.4608,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,2921-88-2
21087649,21087-64-9,Metribuzin,triazinone,214.29,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,41,16,6,4.05,1.03,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,23,12,6,1.8241,1.362,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,21087-64-9
21725462,21725-46-2,Cyanazine,chlorotriazine,240.7,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,50,18,5,3.73,0.988,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,17,11,4,1.038,0.7423,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,21725-46-2
28249776,28249-77-6,Thiobencarb,thiocarbamate,257.78,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,112,49,10,3.08,0.584,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,24,16,6,1.626,0.906,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,28249-77-6
35367385,35367-38-5,Diflubenzuron,chitin synthesis inhibitor,310.69,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,89,40,6,2.41,2.45,"Slope too high to be realistic, replace by 0.7",1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,37,24,8,1.3853,2.0443,"Slope too high to be realistic, replace by 0.7",1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,35367-38-5
40487421,40487-42-1,Pendimethalin,dinitroaniline,281.32,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,62,31,9,2.98,1.07,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,43,19,9,1.7256,1.4576,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,40487-42-1
51218452,51218-45-2,Metolachlor,chloroacetanilide,283.8,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,66,33,7,3.83,0.821,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,38,17,6,2.1464,1.2752,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,51218-45-2
51630581,51630-58-1,Fenvalerate,pyrethroid ester,419.91,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,217,70,10,0.639,1.2,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,28,14,4,1.6138,1.8276,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,51630-58-1
52315078,52315-07-8,Cypermethrin | Zeta-cypermethrin,pyrethroid ester,416.31,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,186,84,8,-0.112,1.19,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,50,17,6,0.0017,1.7547,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,52315-07-8
52918635,52918-63-5,Deltamethrin,pyrethroid ester,505.22,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,177,62,7,0.294,1.59,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,44,14,4,-0.5741,1.7066,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,52918-63-5
60207901,60207-90-1,Propiconazole,conazole,342.23,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,96,38,7,3.43,0.763,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,36,16,7,2.4142,1.1604,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,60207-90-1
64902723,64902-72-3,Chlorsulfuron,triazinylsulfonylurea,357.78,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,58,28,7,3.03,1.81,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,22,15,8,2.4871,1.9968,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,64902-72-3
66230044,66230-04-4,Esfenvalerate,pyrethroid ester,419.91,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,50,17,5,0.028,1.33,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,82,24,6,-0.4365,0.8562,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,66230-04-4
79622596,79622-59-6,fluazinam,pyridine,465.1,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,54,26,11,2.04,0.754,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,111,37,12,1.5741,0.7116,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,79622-59-6
84087014,84087-01-4,Quinclorac,quinolinecarboxylic acid,242.06,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,13,4,4.6,0.493,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,18,11,6,3.0099,0.8629,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,84087-01-4
107534963,107534-96-3,Tebuconazole,conazole,307.83,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,30,13,4,3.48,0.587,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,24,15,5,2.2747,0.7868,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,107534-96-3
120068373,120068-37-3,Fipronil,pyrazole,437.15,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,74,32,8,1.43,1.05,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,72,44,13,0.2581,1.0474,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,120068-37-3
131860338,131860-33-8,Azoxystrobin,strobin,403.4,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,28,19,6,2.65,0.473,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,30,19,10,1.8784,0.975,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,131860-33-8
56359,56-35-9,Hexabutyldistannoxane,multi site inhibitor,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,112,65,15,1.14,1.28,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,31,18,6,-0.1278,1.0645,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,56-35-9
